,n_estimators,max_depth,min_samples_split,min_samples_leaf,P_lag_1,P_lag_2,P_lag_3,t_cos,t_sin,d_cos,d_sin,w_cos,w_sin,m_cos,m_sin,MAE_train,MSE_train,IA_train,R2_train,MAE_val,MSE_val,IA_val,R2_val,MAE_test,MSE_test,IA_test,R2_test
10,278.0,5.0,6.0,13.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.08201756375463,2.3064362521929604,0.9404148995426134,0.7957532541397139,1.0623766603342246,2.2117198876416317,0.927327655244008,0.7555557485320041,1.0635515452405317,2.221235683571034,0.9361841737878783,0.7872117121026747
11,269.0,5.0,13.0,18.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0823992272482832,2.3100816537069186,0.9403167331056206,0.7954239688396901,1.0623709720480337,2.2127710608863085,0.9272896637676993,0.755468131689088,1.0630008908685074,2.222213759546727,0.9362062102860315,0.7871180151060704
12,270.0,5.0,2.0,19.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0824722166541165,2.3107083828619137,0.9402991074007907,0.7953673191700679,1.062377831810664,2.213011519153663,0.9272827331295108,0.7554475543034795,1.0629437726716477,2.2228149901483274,0.9361967882915374,0.7870604188630006
13,275.0,5.0,11.0,18.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0824110996362943,2.3100672069855817,0.9403131516569692,0.7954252740830927,1.0623688259873658,2.2127716619052804,0.9272847877709627,0.755467790791583,1.0630246563617742,2.222242594692862,0.9362000097277937,0.787115252778136
14,275.0,5.0,7.0,17.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0823358163743508,2.309368720470283,0.9403332533290357,0.7954883866314135,1.0623768857239473,2.212553118846283,0.9272897616489324,0.7554822672608376,1.0632394811413692,2.222497811458437,0.9361837775964142,0.7870908037117939
15,278.0,5.0,6.0,13.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.08201756375463,2.3064362521929604,0.9404148995426134,0.7957532541397139,1.0623766603342246,2.2117198876416317,0.927327655244008,0.7555557485320042,1.0635515452405317,2.221235683571034,0.9361841737878783,0.7872117121026747
16,278.0,5.0,5.0,12.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0819109724243632,2.305669060437392,0.9404362203696577,0.7958224425496362,1.0623937637875245,2.2117110383858414,0.9273310921868825,0.755557544400943,1.063547261708939,2.221033939679681,0.9361828804871303,0.7872310386142882
17,281.0,5.0,2.0,13.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0820133781507932,2.3064458954400733,0.9404165328672742,0.7957523385136813,1.0623745572917171,2.211743604162498,0.9273291276386796,0.7555522896106212,1.063531977320716,2.221238962744183,0.936183408188553,0.7872113979668784
18,269.0,5.0,12.0,13.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.08199318753742,2.3064374455801206,0.940419327641117,0.7957531127288746,1.0623655056490222,2.2116375529843872,0.927335637833116,0.7555652485753289,1.0635009469520327,2.2209806217519605,0.9361961830882759,0.787236146325567
19,285.0,5.0,9.0,19.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.082468612495608,2.310702807345112,0.9402987692027301,0.7953678123921107,1.0623828027823445,2.213105967850452,0.9272777404763155,0.7554346562229622,1.062926575103087,2.2228735081138673,0.9361902655268644,0.7870548130023571
20,286.0,5.0,3.0,13.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0819987465573155,2.30644426559954,0.9404188806502143,0.7957524939736087,1.062378664104195,2.2118093502660066,0.9273290586274295,0.7555438417651628,1.0634966546893059,2.221211921911788,0.9361859714464706,0.7872139884044764
21,283.0,5.0,7.0,17.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0823266070919604,2.309371436848802,0.9403356790414741,0.7954880762707084,1.0623916547473355,2.212682786391868,0.9272873701786409,0.7554659633698911,1.0632135003475878,2.222566845150716,0.9361829643892583,0.7870841904733626
22,276.0,5.0,2.0,12.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0819078317760176,2.3056682593264997,0.9404367777967653,0.795822499972573,1.062389211910705,2.2116562422398918,0.9273337528406385,0.7555631940793996,1.0635256485646711,2.220906555701149,0.9361877387441405,0.7872432416501469
23,287.0,5.0,4.0,17.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0823271705562834,2.309375997030326,0.9403361681497766,0.7954876759573217,1.062396804626098,2.212767943088868,0.9272858276487748,0.7554559126961695,1.0631824577654867,2.222501906936065,0.9361861995661456,0.7870904113762667
24,283.0,5.0,7.0,18.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0824035794383398,2.3100682191097457,0.9403156784943267,0.7954251346294815,1.0623863865608323,2.2129025952823294,0.9272822350188595,0.7554509825042878,1.0630086360346322,2.222356841370201,0.9361979314078194,0.7871043082597093
25,97.0,5.0,15.0,10.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.081810358014771,2.3041385835418335,0.9404597080184123,0.7959596904649101,1.0623995640066302,2.2108918617287068,0.9273385290935021,0.7556243817348858,1.0635080666056331,2.2196363257813396,0.9361892258512461,0.7873649261935168
26,284.0,5.0,2.0,19.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0824691288822166,2.3107027791783503,0.9402980132351868,0.795367843876565,1.062384756359425,2.213097210229917,0.9272777555712979,0.7554347674124575,1.062922485937147,2.2228781677170644,0.9361899937815644,0.7870543666251474
27,109.0,5.0,10.0,11.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0818010483501885,2.304738481431178,0.9404561832721698,0.795905859482579,1.062406327076856,2.2114134179853178,0.9273312535065812,0.7555588430047894,1.0632862238957825,2.2190191973805096,0.9362282060103778,0.7874240454021613
28,286.0,5.0,2.0,18.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0823940069509561,2.310069101803354,0.9403168108170201,0.7954250458391823,1.062380268850991,2.2129440406479395,0.9272822924905046,0.7554465730930067,1.0630028342799578,2.2223696327636153,0.936197674968184,0.787103082879294
29,286.0,5.0,13.0,18.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0823940069509561,2.310069101803354,0.9403168108170201,0.7954250458391823,1.062380268850991,2.2129440406479395,0.9272822924905046,0.7554465730930067,1.0630028342799578,2.2223696327636153,0.936197674968184,0.787103082879294
30,270.0,5.0,8.0,13.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0820005527701602,2.3064375677907556,0.9404197005747346,0.7957530641612718,1.0623723523551127,2.2117122044878506,0.9273333005418706,0.7555573327611022,1.063511059474376,2.2210400894614466,0.9361943896398517,0.7872304494820577
31,285.0,5.0,3.0,18.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0823982048596594,2.3100738140616484,0.9403165310777204,0.7954246300997408,1.0623789791536484,2.21292870851759,0.9272825674719363,0.7554487954731126,1.0629979824066458,2.222316391262104,0.936198230304875,0.7871081832691516
32,271.0,5.0,5.0,19.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0824778742793995,2.3107101102848153,0.9402980712259548,0.7953671950085845,1.062382580132365,2.2130025000548144,0.9272822451610983,0.7554489665309858,1.062927863644267,2.2227852413588307,0.9361971518104338,0.7870632687154637
33,276.0,5.0,3.0,16.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.082260562576017,2.3086146726412298,0.9403545140472519,0.7955563093761457,1.0623988483459812,2.2124575683114225,0.9272942043793645,0.7554889318324809,1.0632757728485094,2.221897668611329,0.9361953305815383,0.7871482957509657
34,271.0,5.0,8.0,19.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0824778742793995,2.3107101102848158,0.9402980712259548,0.7953671950085845,1.062382580132365,2.213002500054815,0.9272822451610983,0.7554489665309858,1.062927863644267,2.2227852413588307,0.9361971518104338,0.7870632687154637
35,269.0,5.0,6.0,13.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.08199318753742,2.306437445580121,0.940419327641117,0.7957531127288746,1.0623655056490222,2.211637552984387,0.927335637833116,0.7555652485753288,1.0635009469520327,2.220980621751961,0.9361961830882758,0.7872361463255669
36,108.0,5.0,10.0,11.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0818152813711408,2.304789499695228,0.9404509133715879,0.7959013256492846,1.0623836112108695,2.2113623632107835,0.9273265604299545,0.7555623683595525,1.0633275890167644,2.219195787335251,0.9362199134926239,0.7874071285687035
37,276.0,5.0,8.0,13.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0820138944196493,2.3064325637344547,0.9404154307823842,0.7957535803969271,1.0623714581461263,2.2116669963816094,0.9273301797261142,0.7555612670807994,1.0635318633694415,2.22111626817749,0.9361889407909918,0.7872231517699414
38,241.0,5.0,4.0,17.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.082324204936051,2.3093774046323565,0.9403407259103085,0.7954876889101095,1.0624523302665083,2.212571074174355,0.9272950084141347,0.7554770675827891,1.0632178387894122,2.2225100863051424,0.9361940496549326,0.7870896278151368
39,287.0,5.0,5.0,17.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0823271705562834,2.309375997030326,0.9403361681497766,0.7954876759573217,1.062396804626098,2.2127679430888674,0.9272858276487748,0.7554559126961695,1.0631824577654867,2.222501906936065,0.9361861995661456,0.7870904113762667
