,layers,neurons,batch_size,P_lag_1,P_lag_2,P_lag_3,t_cos,t_sin,d_cos,d_sin,w_cos,w_sin,m_cos,m_sin,MAE_train,MSE_train,IA_train,R2_train,MAE_val,MSE_val,IA_val,R2_val,MAE_test,MSE_test,IA_test,R2_test
354,2.0,22.0,8.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0886484129928515,2.35773653330868,0.9393898790940952,0.791189335545466,1.058680911249176,2.2008753491089665,0.927931382162883,0.7565994801102056,1.0666753677897252,2.2210228962830363,0.9355960049434824,0.787232096541406
355,2.0,13.0,179.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0906326653452858,2.361733804269665,0.938868595269071,0.7908322138902879,1.0592840859681851,2.2021680520210456,0.9272761887395982,0.7563843538797543,1.0567476048654825,2.207492611529537,0.9366574270493164,0.7885282607209908
356,2.0,35.0,153.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0899573205792334,2.3604984006828458,0.9389713950261941,0.7909451446732841,1.0589563789282017,2.199728452288595,0.927175049852131,0.7565244936809066,1.057601719466725,2.2108177101246587,0.9365085507965006,0.7882097253929394
357,2.0,43.0,46.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0894895478860736,2.358130849619622,0.9386631126131595,0.7911543935738927,1.0579886238075429,2.1983079191595305,0.9270754741271772,0.756882921486683,1.0560281232149669,2.215450374128749,0.9359162366145579,0.78776592888403
358,1.0,16.0,144.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0904447671954214,2.3621174460816436,0.9388502565269157,0.790794719302257,1.0573165728560212,2.1935122849655153,0.9276609602840822,0.7574389451952245,1.0674219568352667,2.227719627074784,0.9357350976715081,0.7865905680938734
359,2.0,36.0,61.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.091212984442264,2.3581532141165154,0.9394859066579058,0.7911527170945669,1.0588511210100662,2.1969404856360244,0.9281250301981961,0.7568329474632699,1.0589682622648704,2.207700126685425,0.9363482867139091,0.7885083813380596
360,2.0,14.0,92.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0899060648270285,2.3579007179891325,0.9391754015653231,0.7911758443748165,1.0592635883513444,2.1989159601501993,0.9277855403126729,0.756859952873946,1.0663621054149166,2.2255674455805057,0.9360478873735472,0.7867967411797818
361,2.0,43.0,144.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0894906761690557,2.3583368015298785,0.9385872272517423,0.7911375240850673,1.058217590201099,2.197938295567238,0.927079140218546,0.7569261379723224,1.0583157696280905,2.2091434377162082,0.9364193288213587,0.7883701160988438
362,1.0,16.0,147.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0905301456631111,2.3624144009182544,0.9387920017982465,0.7907642130108643,1.0573259779122017,2.1940305745886515,0.9276076510749833,0.7573986802877485,1.0685545211709124,2.2303125550338536,0.935675700630179,0.7863421727051569
363,2.0,37.0,39.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.090323108229343,2.3590423777093146,0.9395351152355795,0.7910719280316711,1.0582926395526533,2.1977793468005276,0.9281706786149335,0.7568890085097877,1.0611491350770028,2.2080259722205144,0.9372983364090062,0.7884771662292607
364,2.0,44.0,106.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0891532056331261,2.3587659104850847,0.9391382927069876,0.7910995657477355,1.058364243282421,2.1993246640809225,0.9275037418050786,0.756772908259185,1.0527555837763796,2.2076274902386936,0.9380250628273266,0.7885153397104886
365,2.0,18.0,34.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0894741769490706,2.3583304649608907,0.9392318230228524,0.7911372763739664,1.059123155929932,2.2013956373297052,0.9277949458200361,0.7564349325198699,1.0646553801360532,2.209816909922965,0.9377464870474708,0.7883055993080853
366,2.0,32.0,137.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0892259517545737,2.3581079393233657,0.9391115884081833,0.7911543096914906,1.058029529073502,2.1999338799445494,0.9277457282587543,0.7564944533242735,1.0604429509577167,2.209302702648989,0.9364969702381156,0.788354858954985
367,2.0,40.0,45.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.091126643934899,2.3586370302533197,0.9386734009765706,0.7911078285907152,1.060072787029286,2.1974608115054943,0.9272362350143917,0.756975053779393,1.0638211175635015,2.206724874764224,0.9362852424925882,0.7886018077979872
368,2.0,32.0,146.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0893269467653872,2.357957072728299,0.9390734313398226,0.7911702891233983,1.0588713803567589,2.200762707989818,0.9276988034241456,0.7564117765971266,1.0605107406000498,2.2090285215145493,0.9364988561129879,0.7883811247558645
369,1.0,20.0,13.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.092345688240861,2.3576230773735096,0.9388822737549796,0.7912008224956555,1.0598096228608633,2.1977571627770693,0.9273929217376755,0.7568220510579418,1.0598566250937067,2.2067516940359306,0.937704343325557,0.7885992385852957
370,2.0,37.0,44.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0090814823234777,2.0716872068773733,0.9474881679039601,0.8165184534984987,0.9720015706940325,1.896685337893592,0.9391109537433375,0.791440526624809,0.9729992470347524,1.910654745140607,0.9464840191692161,0.8169645143968945
371,2.0,45.0,52.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0097622742692136,2.0769676254052407,0.9468783114019315,0.8160540514382866,0.9705891066410354,1.9003183599708238,0.9385422985413346,0.7909866590302734,0.9719612835337527,1.9242414082313046,0.9463283035993444,0.8156629493271945
372,2.0,19.0,160.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.008927876779015,2.073644690045863,0.9478946260758403,0.8163405231986711,0.9715145902574851,1.8972256603181286,0.9397512579493461,0.7913303952976118,0.9755326954894706,1.9165018888787018,0.9466365915469866,0.8164043740595494
373,2.0,46.0,55.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.010757824409032,2.0702156843059605,0.9471690010253936,0.8166447093326321,0.972505819660082,1.8938502132275503,0.93899802018439,0.7917601766934895,0.9713246978405524,1.9199868374362221,0.9455489845996322,0.8160705255434059
