,l1_ratio,Temp,Cloud,Pressure,Rel-hum,Dew-point,Wind_cos,Wind_sin,Wind_sp,Temp_lag_1,Temp_lag_2,Temp_lag_3,P_lag_1,P_lag_2,P_lag_3,t_cos,t_sin,d_cos,d_sin,w_cos,w_sin,m_cos,m_sin,MAE_train,MSE_train,IA_train,R2_train,MAE_val,MSE_val,IA_val,R2_val,MAE_test,MSE_test,IA_test,R2_test
197,0.1698674054759674,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9576406174903086,1.8611061784622902,0.9530760469922726,0.835251353680746,0.9240153341531374,1.7260805802572987,0.944818349570369,0.8089533572722036,0.9073351951393914,1.7373186592198628,0.953422573026634,0.8335696361436339
198,0.1373216480378402,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9562757747092423,1.8590989635852813,0.9530743724970427,0.8354294676621253,0.9225695100312123,1.727764966120563,0.944605308587045,0.8087810979669753,0.9049434153984289,1.7319942274652849,0.9534087039803638,0.8340797021062252
199,0.2858286612368718,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.9547265119386986,1.8372773998458534,0.9539033887587549,0.8373560309083172,0.921570721459409,1.7087202679150626,0.9457622013917433,0.8107662345509103,0.9061647959272373,1.7161680109237727,0.9542001703163004,0.8355958102556975
200,0.6278564347112426,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7837421935245321,7.013569113383508,0.7221528025354207,0.37856306769425346,1.6852398641675723,6.26263678057309,0.700144965983081,0.3364432395732515,1.553556206244966,5.291888206104707,0.811766544925149,0.4930516201186096
201,0.9998892508856896,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0978747317153852,2.3896534784997487,0.9380071964082746,0.7883628692524105,1.0625707861641223,2.220023486335224,0.9274396536939825,0.7541421501003781,1.0390600767347382,2.176498831544864,0.9383488085479027,0.7914973798591284
202,0.9997727901395468,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0978747791485626,2.3896534846884805,0.9380071760480274,0.7883628687046176,1.062570818516583,2.220023412555226,0.9274396332439632,0.7541421606126838,1.0390601621426432,2.1764988823637257,0.9383487879398487,0.7914973749908208
203,0.999736553848789,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0978747939094515,2.3896534866148107,0.9380071697120407,0.7883628685341095,1.0625708285844535,2.2200233895957613,0.9274396268800396,0.7541421638840031,1.0390601887210151,2.176498898178584,0.938348781526747,0.7914973734758007
204,0.9998538339654413,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0978747461391403,2.3896534803814267,0.9380071902170196,0.7883628690858546,1.0625707960020458,2.220023463899578,0.9274396474754293,0.754142153297042,1.0390601027060682,2.1764988469979674,0.9383488022812928,0.7914973783787635
205,0.9998721525409536,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0978747386786625,2.389653479408131,0.9380071934193572,0.7883628691720055,1.0625707909135227,2.2200234755040684,0.9274396506918865,0.7541421516436162,1.0390600892727748,2.176498839005053,0.9383488055226065,0.7914973791444628
206,0.99991732236545,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.097874720283829,2.3896534770085647,0.9380072013151534,0.7883628693844021,1.0625707783670697,2.2200235041167313,0.9274396586224964,0.7541421475668473,1.0390600561511445,2.176498819297615,0.9383488135145044,0.7914973810323813
207,0.9998463787511764,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0978747491754515,2.3896534807775596,0.9380071889137123,0.7883628690507911,1.0625707980730041,2.2200234591767245,0.9274396461663754,0.7541421539699619,1.039060108173232,2.1764988502509848,0.9383488009621227,0.7914973780671334
208,0.9998582466673126,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0978747443419854,2.389653480146965,0.9380071909884311,0.788362869106608,1.0625707947762713,2.2200234666949807,0.927439648250242,0.7541421528987485,1.0390600994701213,2.1764988450725493,0.9383488030620932,0.7914973785632132
209,0.9999448553156954,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0978747090721996,2.3896534755461905,0.938007206127627,0.7883628695138436,1.0625707707200214,2.2200235215562523,0.9274396634561888,0.7541421450820468,1.03906003596355,2.176498807286088,0.9383488183855522,0.7914973821830527
210,0.9998294449722313,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0978747560722981,2.3896534816773904,0.9380071859533061,0.7883628689711429,1.0625708027770946,2.2200234484489996,0.9274396431929163,0.7541421554984666,1.0390601205916543,2.1764988576400985,0.9383487979656849,0.7914973773592765
211,0.9998808485451252,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0978747351371971,2.38965347894613,0.9380071949394961,0.7883628692128993,1.0625707884980167,2.2200234810126998,0.9274396522187279,0.7541421508587387,1.0390600828960328,2.176498835210858,0.9383488070612473,0.7914973795079363
212,0.9999204660074236,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0978747190036824,2.389653476841584,0.9380072018646429,0.7883628693991823,1.062570777493928,2.2200235061079745,0.9274396591744087,0.7541421472831328,1.03906005384612,2.1764988179261318,0.9383488140706819,0.7914973811637657
