,layers,neurons,batch_size,Temp,Cloud,Pressure,Rel-hum,Dew-point,Wind_cos,Wind_sin,Wind_sp,Temp_lag_1,Temp_lag_2,Temp_lag_3,P_lag_1,P_lag_2,P_lag_3,t_cos,t_sin,d_cos,d_sin,w_cos,w_sin,m_cos,m_sin,MAE_train,MSE_train,IA_train,R2_train,MAE_val,MSE_val,IA_val,R2_val,MAE_test,MSE_test,IA_test,R2_test
10,2.0,34.0,72.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0900303900814268,2.3582447737114665,0.9388619341768082,0.7911476795011039,1.0572077638980752,2.196396054092208,0.9274478899917525,0.7569733234493035,1.063764592209662,2.210712132171338,0.9370948643663106,0.7882198394713746
11,2.0,43.0,67.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0885742510984215,2.359401610874656,0.9388905668250922,0.7910430346532678,1.0577834734901677,2.199634746582503,0.9273752932204604,0.7567339887335085,1.057786735966162,2.2100553314414086,0.9366023302980961,0.7882827591803659
12,3.0,32.0,89.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.089242283969662,2.3564627357930084,0.9389235981444013,0.7913032625207197,1.0571562921332334,2.1966776257036127,0.9276089516639323,0.7570971541176085,1.058946810987144,2.2178652303744806,0.9361359353068193,0.7875345922771818
13,3.0,25.0,74.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0888274038806356,2.3582781633642314,0.9393724655584492,0.7911412339758664,1.0577082547449626,2.198780585306142,0.927956012430829,0.7566801001238217,1.059149946419555,2.2079304302374645,0.9366595719338145,0.7884863188892625
14,2.0,35.0,125.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0902997389622648,2.358028179033007,0.9388205217121779,0.7911630007838043,1.059142205698929,2.1972867508814833,0.9275216823857737,0.7569578206841742,1.0599753776794034,2.2134386049155736,0.9361286491699041,0.7879586508584167
15,2.0,49.0,89.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0892954728913868,2.361260838989485,0.9393886466103771,0.790876211810535,1.0566744667461656,2.2008884024713855,0.9280569247023415,0.7566564265855944,1.0586555788399716,2.2153074502605765,0.9365939381379504,0.7877796205987062
16,2.0,50.0,82.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0906906770749916,2.3605092260333893,0.9393835973832045,0.7909416317776272,1.0575807999952986,2.197927693992785,0.9279944359403073,0.7568808662172786,1.0539314440819911,2.2094484320218823,0.9377671736756654,0.7883408984806491
17,3.0,25.0,45.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.089588370945204,2.361825718603683,0.9391387681181036,0.7908273314983336,1.0584678909733427,2.2046917241886055,0.9277699946886988,0.7559548918069623,1.0539493012179084,2.2184763848956073,0.9361186490000731,0.7874760453498326
18,3.0,35.0,81.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0879281255039355,2.3583104271298403,0.9394255085692649,0.7911400994050409,1.0592212173458173,2.2055475790522214,0.927991165262734,0.7560306155778252,1.059545047452156,2.2203011146655545,0.9359947659206593,0.7873012412412483
19,2.0,43.0,151.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0883460324653358,2.3581611857948106,0.9388664265483193,0.7911545173257963,1.057066235277018,2.1982755161355487,0.9273661637243973,0.7568820651955157,1.058316594230249,2.208439930042507,0.9364966118982689,0.7884375102049788
