,layers,neurons,batch_size,Cloud,Pressure,Rel-hum,Dew-point,Wind_cos,Wind_sin,Wind_sp,P_lag_1,P_lag_2,P_lag_3,t_cos,t_sin,d_cos,d_sin,w_cos,w_sin,m_cos,m_sin,MAE_train,MSE_train,IA_train,R2_train,MAE_val,MSE_val,IA_val,R2_val,MAE_test,MSE_test,IA_test,R2_test
34,3.0,16.0,43.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.091304429443384,2.358928316050517,0.9391153779645601,0.791080619422939,1.0579700840084834,2.19765988837859,0.9280269910831562,0.7567543477278809,1.057615166105671,2.2072626615857898,0.9374517483982766,0.7885502892950831
35,2.0,46.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0887260509060723,2.3600319620817385,0.9397777741631361,0.7909889919405122,1.0562578380992014,2.198451885530459,0.928618937481801,0.7567630328913033,1.0612798399193413,2.230438119313774,0.9366561532463991,0.7863301439914356
36,2.0,18.0,37.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0885990457284915,2.358914417605969,0.9394813850925171,0.7910868410539718,1.0582431752421808,2.2024240011095415,0.9280506782714815,0.7563117583520684,1.06296807668023,2.2081986524424275,0.9375553466233747,0.7884606239374875
37,4.0,30.0,185.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.090626867419144,2.3581458040338754,0.9391655776403456,0.7911518031597735,1.0595348122056707,2.1986713615301983,0.9276040427064596,0.756855328716558,1.0588437928285104,2.2111129649046948,0.9371130426117837,0.7881814407945953
38,3.0,30.0,112.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0892079082070178,2.3618717382929546,0.9387531401222257,0.7908201771651104,1.0577959497423906,2.197682938954675,0.9270977149059947,0.7570219346751552,1.057885045410714,2.2089727739099128,0.9372377963028631,0.7883864652235297
39,4.0,25.0,191.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0880443360485672,2.358564650099952,0.9391248846831419,0.7911153399858399,1.0570578204140024,2.1966807355454607,0.9277300758168343,0.7570422839897577,1.0598456622282255,2.217513532966917,0.9366201028637247,0.7875682839244783
40,3.0,47.0,66.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0910813604816274,2.3588815843776887,0.9385503908101167,0.7910883526310091,1.05663719663655,2.1948064500369195,0.9272244321006082,0.757212999564738,1.0795396934515629,2.2667855522101545,0.9315436659312397,0.7828481595839776
41,3.0,45.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0874239787592257,2.3639407426157737,0.9392345058340902,0.7906428976849631,1.0552420625164907,2.196436395379718,0.9278608887235527,0.7569503083953816,1.050764537360325,2.223305854359647,0.9361030775852677,0.7870133954174972
42,3.0,30.0,182.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.088696656356682,2.3570734646121196,0.9389050811597506,0.7912444604491187,1.057313175779397,2.1965394160898493,0.9278918107553242,0.7571997304820984,1.060586403899479,2.216743202761057,0.935658187216225,0.787642079445968
43,4.0,25.0,42.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0885419561012135,2.3590391253754968,0.9389641019161724,0.7910751264310569,1.0583450182800236,2.2000118321255355,0.9276076001884177,0.7567273263718255,1.064659282940726,2.2304082398259575,0.9353762944543659,0.7863330063644394
