,l1_ratio,P_lag_1,P_lag_2,P_lag_3,t_cos,t_sin,d_cos,d_sin,w_cos,w_sin,m_cos,m_sin,MAE_train,MSE_train,IA_train,R2_train,MAE_val,MSE_val,IA_val,R2_val,MAE_test,MSE_test,IA_test,R2_test
350,0.9999998977554974,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0978746866603397,2.3896534726232885,0.9380072157476703,0.7883628697725629,1.0625707554336996,2.220023556417875,0.9274396731186478,0.7541421401149389,1.039059995608886,2.176498783275547,0.9383488281226852,0.7914973844831966
351,0.999991689763379,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.097874690002266,2.389653473059104,0.9380072143131862,0.788362869733987,1.062570757713107,2.2200235512194864,0.927439671677839,0.7541421408556079,1.039060001626339,2.176498786855834,0.9383488266707413,0.791497384140215
352,0.999999421484081,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0978746868542546,2.3896534726485763,0.9380072156644346,0.7883628697703247,1.0625707555659618,2.2200235561162387,0.9274396730350452,0.754142140157916,1.0390599959580482,2.1764987834832925,0.9383488280384362,0.7914973844632952
353,0.999934635805326,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0978747132335909,2.3896534760889616,0.938007204341394,0.7883628694658005,1.0625707735583567,2.220023515083258,0.9274396616620801,0.7541421460043249,1.0390600434565271,2.1764988117443638,0.9383488165775784,0.7914973817559621
354,0.9999289371781248,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0978747155541126,2.3896534763916355,0.9380072033453346,0.7883628694390092,1.0625707751411007,2.220023511473721,0.9274396606616291,0.7541421465186154,1.039060047634845,2.176498814230444,0.9383488155693955,0.7914973815178024
355,0.999933476398328,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0978747137057077,2.3896534761505412,0.9380072041387428,0.7883628694603496,1.0625707738803702,2.2200235143488873,0.9274396614585356,0.7541421461089589,1.0390600443066178,2.176498812250163,0.9383488163724607,0.7914973817075078
356,0.9999940098155666,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0978746890576392,2.3896534729359153,0.9380072147186567,0.788362869744891,1.0625707570688112,2.220023552688858,0.9274396720850971,0.754142140646251,1.0390599999254497,2.1764987858438314,0.9383488270811469,0.791497384237162
357,0.9999721519296748,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0978746979574159,2.3896534740965665,0.938007210898527,0.7883628696421563,1.062570763139028,2.220023538845234,0.9274396682481241,0.754142142618699,1.0390600159503356,2.176498795378415,0.9383488232145206,0.7914973833237751
358,0.9998937758289838,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0978747298726481,2.3896534782593655,0.938007197199251,0.7883628692736879,1.0625707849072579,2.220023489201549,0.9274396544884465,0.7541421496919805,1.0390600734167166,2.1764988295706322,0.9383488093485062,0.7914973800482544
359,0.9999526306498534,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0978747059061351,2.3896534751332505,0.9380072074866259,0.7883628695503947,1.0625707685605628,2.220023526481037,0.9274396648211798,0.7541421443803591,1.0390600302627528,2.176498803894158,0.9383488197610921,0.7914973825079903
