,n_estimators,max_depth,min_samples_split,min_samples_leaf,Temp,Cloud,Pressure,Rel-hum,Dew-point,Wind_cos,Wind_sin,Wind_sp,Temp_lag_1,Temp_lag_2,Temp_lag_3,P_lag_1,P_lag_2,P_lag_3,t_cos,t_sin,d_cos,d_sin,w_cos,w_sin,m_cos,m_sin,MAE_train,MSE_train,IA_train,R2_train,MAE_val,MSE_val,IA_val,R2_val,MAE_test,MSE_test,IA_test,R2_test
10,276.0,5.0,4.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.08248145026166,2.310701909404345,0.940295404020371,0.7953679207410218,1.0623703685925294,2.212942277103755,0.9272804519912233,0.755454131879986,1.0629567010052294,2.222811395785194,0.9361927800268419,0.7870607631931331
11,281.0,5.0,10.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.08240944504375,2.3100723573868542,0.9403144418197146,0.7954247698445065,1.0623755069641792,2.2128471480061256,0.927283634745775,0.7554579691342371,1.0630234973806716,2.222379844884402,0.9361956012012992,0.7871021045861241
12,276.0,5.0,2.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0823362018505995,2.309371268028638,0.940333523996401,0.7954881247803816,1.0623737306444774,2.2125613229599104,0.9272897859401557,0.7554812672647844,1.0632428566770797,2.222508067357761,0.9361844685273898,0.78708982122476
13,279.0,5.0,17.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0821102214077702,2.3071785881987408,0.940393226764376,0.7956861693506917,1.0623998045515461,2.2120589987442076,0.9273111371063643,0.7555224311069902,1.0634701350442466,2.2215439639512375,0.9361803296607281,0.7871821796875506
14,281.0,5.0,3.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0821024276491842,2.30718801137032,0.9403949366184632,0.7956853008078567,1.0623879625453818,2.2120232063838294,0.9273155915801323,0.7555256784899217,1.0634497107703806,2.2214722126319972,0.9361839032208343,0.7871890532671929
15,285.0,5.0,6.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.08232012970811,2.3093793562280016,0.940336500612901,0.795487380509692,1.0623824241033017,2.2126974297145816,0.9272881412755333,0.7554647434848749,1.0632005967462559,2.222524043302,0.9361833917768135,0.7870882907731077
16,277.0,5.0,10.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0824151439857181,2.3100671117373546,0.94031275722282,0.795425272006933,1.0623654437568382,2.2127750614415818,0.9272837299778531,0.7554666159392521,1.063032072841489,2.2222916852543824,0.9361978376222517,0.7871105500369479
17,288.0,5.0,13.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0824093995412234,2.3100649571177923,0.94031719508531,0.795425444040592,1.0623969756657576,2.2130005814774867,0.9272808474949954,0.7554401112712252,1.0629918748536955,2.2223532448068806,0.9361981972027694,0.7871046528006137
18,270.0,5.0,11.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0824722166541165,2.3107083828619133,0.9402991074007907,0.7953673191700679,1.062377831810664,2.2130115191536635,0.9272827331295108,0.7554475543034794,1.0629437726716477,2.2228149901483274,0.9361967882915374,0.7870604188630006
19,266.0,5.0,18.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0823994741833125,2.310086444166614,0.9403170476752299,0.7954236015986884,1.0623769449535951,2.2127915218771848,0.9272896633672152,0.7554656685149606,1.063005550470685,2.2222193686597618,0.936206689734551,0.7871174777684217
