,n_estimators,max_depth,min_samples_split,min_samples_leaf,Cloud,Pressure,Rel-hum,Dew-point,Wind_cos,Wind_sin,Wind_sp,P_lag_1,P_lag_2,P_lag_3,t_cos,t_sin,d_cos,d_sin,w_cos,w_sin,m_cos,m_sin,MAE_train,MSE_train,IA_train,R2_train,MAE_val,MSE_val,IA_val,R2_val,MAE_test,MSE_test,IA_test,R2_test
28,288.0,5.0,4.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0821041062448393,2.307179066586588,0.9403978104602299,0.7956861395511556,1.062408671119335,2.212141661101043,0.9273141977658521,0.7555108932040615,1.0633968417844941,2.2213810704971344,0.9361887710298169,0.7871977844338027
29,119.0,5.0,7.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0813783882312964,2.3016604411653794,0.9405391919321313,0.796181388368671,1.0624464125970567,2.211262476947745,0.9273523889219486,0.7555847306220869,1.0635263609162386,2.219943951220294,0.9361705703832817,0.7873354565199685
30,107.0,5.0,11.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0817954629689313,2.3047506921676684,0.9404506160560976,0.795904712058567,1.062407224741926,2.21146519896772,0.9273210854163285,0.7555536439818117,1.0633489948464985,2.2192208044970374,0.9362152101642185,0.787404731993201
31,237.0,5.0,8.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0824243293832132,2.310105729234504,0.9403166936275409,0.7954219773791174,1.0624435864234485,2.212831819985976,0.9272853056916703,0.7554570563075194,1.0630307844935987,2.22231127308102,0.9362065104276962,0.7871086735768654
32,109.0,5.0,7.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0814795201010827,2.3025302606122455,0.9405151099787572,0.7961035944493012,1.0624073776464815,2.2112594054795536,0.9273510678054606,0.7555837038805664,1.0634695129469312,2.2196151840607787,0.9361887762610549,0.7873669515123763
33,126.0,5.0,10.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0816112674981524,2.303304259928513,0.9404943370067678,0.7960345761995475,1.062461562169169,2.211462608155461,0.9273417497932694,0.7555663571174628,1.0635158415437487,2.220073706843736,0.9361801720841589,0.7873230262870303
34,106.0,5.0,5.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0817138441955556,2.304079518924052,0.9404675675824263,0.795965024396927,1.0623478031512126,2.2110612659615447,0.9273348908305585,0.7555989225877308,1.0633473188146327,2.219323997746942,0.9362080891152051,0.7873948463628142
35,111.0,5.0,16.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0815633824477204,2.303287604112593,0.9404986323768797,0.7960361063412649,1.0624119077030367,2.211427052960874,0.9273419889436081,0.7555626577830927,1.0633844810792927,2.2194166905405193,0.9362040971227963,0.7873859666473515
36,252.0,5.0,2.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.082396623001486,2.3100834384507314,0.9403265756764851,0.7954238213880596,1.0624557105772403,2.21301257200257,0.9272950373180067,0.7554440137836693,1.0629799885108941,2.2222202262115114,0.936216987610158,0.7871173956173154
37,268.0,5.0,8.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.081177378740784,2.3006359946270636,0.9405719791363032,0.7962736893746563,1.0624660866048745,2.211376911376507,0.9273698080270956,0.7556117949812546,1.0636839523909816,2.2213850939264175,0.9361392031375699,0.7871973990003095
38,284.0,5.0,4.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.082004951156167,2.3064504453600323,0.9404177211684015,0.7957520136458534,1.0623743113749897,2.211771440466983,0.9273296425455138,0.7555476819939115,1.0634927691596086,2.2211487718199545,0.9361867016483562,0.7872200380101178
39,103.0,5.0,14.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0817671527454422,2.3040869982756407,0.9404691133232802,0.7959643169701213,1.062389925212082,2.211073467798511,0.9273390138100273,0.7556024054119107,1.06340472586697,2.219266198495764,0.9362137417653594,0.7874003833725925
40,228.0,5.0,6.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0823318884290671,2.3094146251874563,0.9403357944884264,0.7954843959774965,1.0624449880009403,2.212679529526065,0.9272877686513874,0.7554677123227417,1.063308859725258,2.2228397029370783,0.9361793985828055,0.7870580514456003
