,max_depth,min_samples_split,min_samples_leaf,Cloud,Pressure,Rel-hum,Dew-point,Wind_cos,Wind_sin,Wind_sp,P_lag_1,P_lag_2,P_lag_3,d_cos,d_sin,w_cos,w_sin,m_cos,m_sin,MAE_train,MSE_train,IA_train,R2_train,MAE_val,MSE_val,IA_val,R2_val,MAE_test,MSE_test,IA_test,R2_test
386,6.0,10.0,7.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.137943086921528,144.52933788780808,0.9850461512703343,0.9425666746599177,9.37208444729519,188.05266168897813,0.9738882411319534,0.9003440637252078,10.162862632849537,187.70911082298434,0.9842271738438277,0.9395200792737831
387,6.0,2.0,7.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.137943086921528,144.52933788780808,0.9850461512703343,0.9425666746599177,9.37208444729519,188.05266168897813,0.9738882411319534,0.9003440637252078,10.162862632849537,187.70911082298434,0.9842271738438277,0.9395200792737831
388,6.0,4.0,5.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.93974279430042,137.82063556245913,0.9857732450076406,0.9452823873880993,9.425301830191714,188.00213491550875,0.9738093005113647,0.9000093697319116,10.7240328365793,222.45749823469328,0.9814929839196421,0.9283241404788576
389,6.0,5.0,9.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.427185354228065,154.12105944110334,0.9840100984958304,0.9387549241465718,9.483067357372006,191.79400478008324,0.9736133792038524,0.8988056491108873,10.640697903985457,213.00933742854713,0.9822044089407284,0.931368340166656
390,9.0,6.0,8.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.738150456604652,130.5259115563129,0.9865459599073437,0.9481303073892666,9.477279230801562,186.77161873259257,0.974748171862934,0.9023452746826468,10.141509657009657,196.5305488461269,0.9840311623484896,0.9366778098176456
391,8.0,5.0,8.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.793159591015487,131.81211383141945,0.9864074028491402,0.9476164492766768,9.435006624713022,186.56085839839704,0.9747032309542343,0.902467461782271,10.160627829273732,195.78795395818366,0.984077935682983,0.9369170740694317
392,8.0,12.0,8.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.793159591015487,131.81211383141945,0.9864074028491402,0.9476164492766768,9.435006624713022,186.56085839839704,0.9747032309542343,0.902467461782271,10.160627829273732,195.78795395818366,0.984077935682983,0.9369170740694317
393,8.0,11.0,8.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.793159591015487,131.81211383141945,0.9864074028491402,0.9476164492766768,9.435006624713022,186.56085839839704,0.9747032309542343,0.902467461782271,10.160627829273732,195.78795395818366,0.984077935682983,0.9369170740694317
394,8.0,16.0,8.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.793159591015487,131.81211383141945,0.9864074028491402,0.9476164492766768,9.435006624713022,186.56085839839704,0.9747032309542343,0.902467461782271,10.160627829273732,195.78795395818366,0.984077935682983,0.9369170740694317
395,8.0,8.0,8.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.793159591015487,131.81211383141945,0.9864074028491402,0.9476164492766768,9.435006624713022,186.56085839839704,0.9747032309542343,0.902467461782271,10.160627829273732,195.78795395818366,0.984077935682983,0.9369170740694317
396,8.0,11.0,8.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.793159591015487,131.81211383141945,0.9864074028491402,0.9476164492766768,9.435006624713022,186.56085839839704,0.9747032309542343,0.902467461782271,10.160627829273732,195.78795395818366,0.984077935682983,0.9369170740694317
397,8.0,13.0,8.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.793159591015487,131.81211383141945,0.9864074028491402,0.9476164492766768,9.435006624713022,186.56085839839704,0.9747032309542343,0.902467461782271,10.160627829273732,195.78795395818366,0.984077935682983,0.9369170740694317
398,8.0,13.0,8.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.793159591015487,131.81211383141945,0.9864074028491402,0.9476164492766768,9.435006624713022,186.56085839839704,0.9747032309542343,0.902467461782271,10.160627829273732,195.78795395818366,0.984077935682983,0.9369170740694317
399,8.0,13.0,8.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.793159591015487,131.81211383141945,0.9864074028491402,0.9476164492766768,9.435006624713022,186.56085839839704,0.9747032309542343,0.902467461782271,10.160627829273732,195.78795395818366,0.984077935682983,0.9369170740694317
400,7.0,12.0,14.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.003194278986651,358.4752974047219,0.9596423380934875,0.8553763674808736,15.25644244382514,435.12942752091993,0.9347791703994973,0.7625170352368347,17.12851652466373,511.4217445665868,0.9540552754100663,0.8352197906993475
401,4.0,4.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.47040629223791,244.19880290188485,0.9739955101927973,0.9030555416538569,10.274735646636321,228.28774391631555,0.9672765104443677,0.8790920618565343,12.551064667382049,289.1002255955976,0.9733758686216497,0.9068518376689672
402,4.0,6.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.561912821390962,249.15087248859197,0.973399025955961,0.9009736423336432,10.330490638528108,233.49576603821345,0.9667319200409052,0.8780043721123171,11.722610097420672,258.93068972529403,0.9767231089518434,0.9165724693942084
403,4.0,10.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.474710708027384,244.4266652120667,0.9739688527943884,0.9029629893708607,10.274400033753825,228.43082892591332,0.9672624074519234,0.8790549637511245,12.647072153568084,292.14961788334216,0.9730053335260404,0.9058693227392585
