,n_estimators,max_depth,min_samples_split,min_samples_leaf,Cloud,Pressure,Rel-hum,Dew-point,Wind_cos,Wind_sin,Wind_sp,P_lag_1,P_lag_2,P_lag_3,d_cos,d_sin,w_cos,w_sin,m_cos,m_sin,MAE_train,MSE_train,IA_train,R2_train,MAE_val,MSE_val,IA_val,R2_val,MAE_test,MSE_test,IA_test,R2_test
10,186.0,4.0,7.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.17470318791683,233.1012062274085,0.9751082853805726,0.9073847203953448,9.905987483864529,219.71635731691538,0.9688489443631981,0.8851824064907206,11.619804836297261,244.53576115295172,0.9779795524904377,0.9212105188479498
11,269.0,4.0,3.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.209383185714682,236.30443028427737,0.9747791623036332,0.9061431199635742,9.896738816683271,218.90647883840103,0.9690343443173697,0.8860839207375942,11.596393173459564,242.27970902657654,0.9782159852243942,0.9219374193865499
12,288.0,4.0,3.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.2066697198198,236.32293030833694,0.9747726962196356,0.9061357215671219,9.894546106364388,218.87146294881316,0.9690471757256977,0.8861267898528793,11.586095613722685,242.1214917501221,0.9782412456482437,0.921988397031138
13,291.0,4.0,3.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.206075202934485,236.34602384295738,0.9747677072317097,0.9061273725649636,9.89409849672515,218.82067100815405,0.9690517728694028,0.8861655636290213,11.586054747480802,242.06528762499707,0.9782453622513507,0.9220065060137929
14,272.0,4.0,4.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.209771922414426,236.30662980625368,0.974777750107881,0.9061428980699602,9.89676596907454,218.91816543444185,0.9690293788780333,0.8860754701670515,11.599741427179833,242.38066105480203,0.9782051759908511,0.9219048926187363
15,266.0,4.0,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.209571866392885,236.31378377596633,0.9747753424473993,0.9061402679290909,9.89724255562205,218.8987350982915,0.9690327484665057,0.8860860269351685,11.590986610279147,242.14377844084424,0.9782228191824258,0.9219812162540185
16,287.0,4.0,2.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.206449507800823,236.2936046331654,0.9747743476967414,0.9061469898054597,9.894734194403894,218.88402938073426,0.9690438118597657,0.886119925900321,11.588615325572077,242.17932929716662,0.9782334179991488,0.9219697617595473
17,269.0,4.0,3.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.209383185714685,236.3044302842774,0.9747791623036332,0.9061431199635743,9.896738816683273,218.90647883840106,0.9690343443173697,0.8860839207375942,11.596393173459562,242.27970902657654,0.9782159852243942,0.9219374193865499
18,198.0,4.0,6.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.212349863727997,236.18436730849623,0.9747773445660075,0.906186163294066,9.900692851862653,219.21171461018633,0.9689617631362931,0.8859156327011795,11.594532450493716,242.56610344293847,0.9781755728002961,0.9218451430366058
19,275.0,4.0,6.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.209036930693397,236.33713550256186,0.9747755790077197,0.9061302800908928,9.896433265919388,218.89112011884552,0.969038423542651,0.88609389423838,11.59495668444804,242.23870907834018,0.9782215002244126,0.9219506295797486
20,268.0,4.0,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.209604739412137,236.3142354973213,0.9747760406717301,0.9061386913856377,9.895999372651527,218.87273271042977,0.9690384956448814,0.8861078857127024,11.59396146829717,242.17455846492396,0.9782219174632929,0.9219712989228451
