,layers,neurons,batch_size,P_lag_1,P_lag_2,P_lag_3,d_cos,d_sin,w_cos,w_sin,m_cos,m_sin,MAE_train,MSE_train,IA_train,R2_train,MAE_val,MSE_val,IA_val,R2_val,MAE_test,MSE_test,IA_test,R2_test
173,1.0,4.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.995009786888017,276.7382185916846,0.9703467289896615,0.8900946791922527,9.654119088493491,205.26620271525502,0.9703645989264733,0.8908177207144022,10.719890116821588,213.9617393565444,0.9811681037479908,0.9310614760360221
174,1.0,42.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.035968163773173,275.30774014790256,0.9704847254000344,0.89070690530127,9.749835657462938,204.81400648145228,0.9704872549242378,0.8914257472238647,10.636274594802282,212.2109950847183,0.9814968551183609,0.9316255662621581
175,1.0,42.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.035968163773173,275.30774014790256,0.9704847254000344,0.89070690530127,9.749835657462938,204.81400648145228,0.9704872549242378,0.8914257472238647,10.636274594802282,212.2109950847183,0.9814968551183609,0.9316255662621581
176,1.0,45.0,6.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.051732199524892,274.7375221121573,0.9702795371513182,0.8908967720515797,9.78035703863654,204.55817760526364,0.9701425995660443,0.8912197031002558,10.78658506003226,214.37108195216416,0.981093941571913,0.9309295857531029
177,1.0,4.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.995009786888017,276.7382185916846,0.9703467289896615,0.8900946791922527,9.654119088493491,205.26620271525502,0.9703645989264733,0.8908177207144022,10.719890116821588,213.9617393565444,0.9811681037479908,0.9310614760360221
178,1.0,45.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.08096594217232,275.6025197736668,0.970111080661702,0.8905903708459824,9.72117970587518,204.08634916135063,0.9703281750053478,0.8916882637584786,10.570993691515225,211.5032818669243,0.9818628818470888,0.9318535916314191
179,1.0,44.0,18.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.097422886209129,278.0409414385681,0.9699119257997517,0.8890667826922763,9.739561366193529,205.5571742077446,0.9701096278358732,0.8910200910011981,10.804268219925957,213.73410288854507,0.9812210930430715,0.931134820560849
180,1.0,46.0,6.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.031798866035839,275.11881935000935,0.9702833322173565,0.8907173596283977,9.780332491655944,204.55195611307914,0.9701289934584869,0.8912981415350083,10.856562949455602,215.10738007216432,0.9809873355979727,0.9306923503214649
181,1.0,13.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.02530459737057,276.2663661075372,0.9701810056311194,0.8903160446717955,9.73014260247923,205.07302896525667,0.970082681041073,0.8909337655569057,10.731448373160685,214.32059636926695,0.9811928395125691,0.9309458522200744
182,1.0,13.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.054093237040188,276.4060411838533,0.9700275992113124,0.8902592479499456,9.747861994539736,205.26333713138263,0.9700078263003267,0.8908782285135879,10.729161908371202,215.30040878991096,0.9809684099121231,0.9306301564221064
183,1.0,49.0,11.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.035849981101704,275.2425527515471,0.9701884063803298,0.8906929486844634,9.734594630201604,204.31023551703515,0.9701141077949983,0.8912395297556148,10.830887930613374,215.51282153602943,0.980899307980729,0.9305617169841369
184,1.0,44.0,8.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.031656187587588,274.42592667736255,0.9703799658247473,0.8910077751165529,9.778490125041937,204.04904513098742,0.9702495599437704,0.8914570006560756,10.790797791498544,214.0070531538858,0.9811584587428825,0.9310468759196027
185,1.0,13.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.02530459737057,276.2663661075372,0.9701810056311194,0.8903160446717955,9.73014260247923,205.07302896525667,0.970082681041073,0.8909337655569057,10.731448373160685,214.32059636926695,0.9811928395125691,0.9309458522200744
186,1.0,45.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.046464494544475,275.08948870613875,0.9703597790639382,0.8907649425025159,9.753111418366696,204.30497635339833,0.9703507700269605,0.8913580889165098,10.71543021047227,213.53282827483608,0.9812429544101678,0.931199671289873
187,1.0,49.0,9.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.05615237540083,275.46459341681305,0.9701084058102367,0.8906110399080087,9.756707013368416,204.46420284034917,0.9700465875349487,0.8911475831193697,10.813421407766779,215.25736252109243,0.980944777139009,0.9306440259402896
188,2.0,27.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.027356374335955,273.52926155830517,0.97073884925113,0.8913713378718164,9.746565494010305,205.30581314859683,0.970475676619699,0.8908954878164563,10.899102645796862,216.74897570299783,0.9806293906527792,0.9301634278137506
189,3.0,18.0,9.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.989469190037141,273.35483249944417,0.9707424632613247,0.891405451531867,9.746331503756043,205.6014743049883,0.9700825609819161,0.8905091220377208,11.089160934537132,219.84627594957607,0.9804193050790493,0.9291654769281648
190,1.0,40.0,8.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.004786876935789,275.0737267859604,0.9701865269832479,0.8907123449930875,9.778116797740656,205.3936679113233,0.9698604237351764,0.890779761173913,10.892982631637002,216.14273918241506,0.980867772584845,0.9303587573667246
191,1.0,42.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.029026758675066,274.46242496020693,0.9703288933016294,0.8909881289800319,9.796485050481397,204.80074528363645,0.9701756278711104,0.8912678757824803,10.758479906351559,213.96438748086132,0.9811696755322117,0.9310606228097292
192,5.0,25.0,15.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.015900535461679,277.8482049830974,0.9697710268742077,0.8895811931524853,9.6841936032308,209.2548517461469,0.9694576606232957,0.8888790198905245,10.95895765135746,224.63106092416592,0.9797043199653621,0.927623818056699
