,n_estimators,max_depth,min_samples_split,min_samples_leaf,Temp,Cloud,Pressure,Rel-hum,Dew-point,Wind_cos,Wind_sin,Wind_sp,Temp_lag_1,Temp_lag_2,Temp_lag_3,P_lag_1,P_lag_2,P_lag_3,d_cos,d_sin,w_cos,w_sin,m_cos,m_sin,MAE_train,MSE_train,IA_train,R2_train,MAE_val,MSE_val,IA_val,R2_val,MAE_test,MSE_test,IA_test,R2_test
10,204.0,4.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.18183052535352,233.16978337357494,0.975094727781747,0.9073595173150364,9.912748506374395,219.98889079136674,0.9688127077540905,0.8851024723929775,11.650829963811777,245.40703312532375,0.977897231361561,0.9209297948085624
11,276.0,4.0,3.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.209227864834483,236.31271429960805,0.9747784480203872,0.9061401625822603,9.897900037436704,218.90031907902542,0.9690372092438995,0.8860859436498316,11.597733062902025,242.39370182653153,0.9782061331815732,0.9219006908789436
12,197.0,4.0,3.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.210452128635586,236.1969243904707,0.9747753850440685,0.9061809160477838,9.898667290238514,219.1510828644041,0.9689709275959901,0.8859597202908577,11.592519764896076,242.4600043158327,0.9781843379619518,0.9218793282009186
13,81.0,4.0,4.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.192724858729317,236.74165205568528,0.9747697817701872,0.9059689530233253,9.896635505590357,218.63332616623026,0.9690483549573716,0.885958593611919,11.52042912622401,240.52578273473682,0.9783734086122868,0.9225025348603009
14,290.0,4.0,3.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.206661388958084,236.3392806508833,0.9747681747221135,0.906129734115421,9.894683043126316,218.84716985636138,0.9690488973936646,0.8861477180754846,11.58986229624412,242.18582281169967,0.9782327342047957,0.9219676695476005
15,273.0,4.0,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.210021283783771,236.3143097685085,0.974776379008276,0.9061399211117105,9.89709721797959,218.90845644297647,0.9690312179617202,0.8860814455382829,11.599625427519156,242.3377026022077,0.9782111177816244,0.9219187338425109
16,75.0,4.0,6.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.155949060843264,233.75121262748763,0.9751069775315169,0.907137219317103,9.898730818144003,219.20898449373004,0.9689079812763488,0.8851902583334341,11.567219215777794,242.50681538081488,0.9781712189595374,0.9218642456645045
17,69.0,4.0,8.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.156327862767027,233.67901887894377,0.9751166499631568,0.9071635671719043,9.907708016662516,219.34852584059612,0.9688884147725487,0.8850605702486836,11.58405647148565,243.05139368271315,0.9781319757999395,0.9216887824044442
18,219.0,4.0,3.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.212389091286326,236.2769387513793,0.9747581108793035,0.9061535339506723,9.902790514513464,218.86454066530933,0.9690035688963794,0.8861169340492792,11.604078006581823,242.62664922435494,0.9781582917878962,0.9218256351712479
19,186.0,4.0,8.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.17470318791683,233.1012062274085,0.9751082853805726,0.9073847203953448,9.905987483864532,219.71635731691543,0.9688489443631981,0.8851824064907206,11.619804836297261,244.53576115295172,0.9779795524904377,0.9212105188479498
