,layers,neurons,batch_size,Cloud,Pressure,Rel-hum,Dew-point,Wind_cos,Wind_sin,Wind_sp,P_lag_1,P_lag_2,P_lag_3,d_cos,d_sin,w_cos,w_sin,m_cos,m_sin,MAE_train,MSE_train,IA_train,R2_train,MAE_val,MSE_val,IA_val,R2_val,MAE_test,MSE_test,IA_test,R2_test
198,2.0,26.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,7.533966806020098,134.02438523884618,0.9862673788070919,0.946857438443818,6.965162072202473,125.60948908057442,0.9831433872072594,0.9344212986824316,7.619940872337768,118.57618884949198,0.9898735841429778,0.9617947233877362
199,1.0,31.0,2.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,7.738045692763088,141.5896672547815,0.985315415983998,0.9438381345292088,6.8993994857390595,120.73476509412528,0.9837498888115437,0.9371966370648385,7.884227894791879,126.51623604501546,0.9892608270287738,0.9592364382685843
200,1.0,21.0,59.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,44.26342711120732,3665.2233330233435,0.2577872994870218,-0.48707416791616254,40.44477552458599,2799.266191608979,0.33695325083551625,-0.42467039420762587,46.766199059089196,2962.36912340952,0.3042005504402042,0.04552395480388971
201,3.0,47.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.974078525602874,274.5914846410536,0.9709475553835587,0.8910332760835389,9.701562859235732,206.21239054212623,0.9706083506296732,0.8905923614250999,10.414703616449831,208.03595916643332,0.9822899207164574,0.932970763840794
202,3.0,25.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.957646287926675,276.61101167247836,0.9708783270510295,0.8901689566014056,9.538363512386521,205.083254473523,0.9714158414960972,0.8915996566004853,10.784068178779018,213.21836564149575,0.9813196833660973,0.9313009912260892
203,1.0,20.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.988052842204313,274.70615270572904,0.9705377650973508,0.8908733542588452,9.761359537480551,204.9247619367451,0.9703209673910684,0.8911024642909908,10.783452482687741,212.5931469951618,0.9814804525832203,0.9315024368245529
204,3.0,38.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.97845746098411,272.8733067550753,0.9709504486960959,0.8916493623755863,9.716439734693731,204.08189185861772,0.9707676014079734,0.8916997720820556,11.139200706147365,226.9188304509168,0.9792932044681422,0.9268866981640571
205,3.0,41.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.98606625750013,275.33899830858013,0.9711488061266387,0.890568784371854,9.761834249855116,205.90115419264595,0.9707845436979875,0.8906732451280106,11.38594630061859,223.62460857438145,0.9798716157508922,0.9279480972462536
206,1.0,46.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.022669245324954,276.86067324598525,0.9702994656505866,0.8897821273594553,9.782394656665781,206.01806194297515,0.9699958122437548,0.8904713485321446,11.00070388841387,217.75296830155025,0.9807310641898891,0.9298399411566356
207,1.0,28.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.015769709157185,277.2257445537268,0.9701084397641886,0.8899720718509578,9.737521502985725,204.50352699449803,0.970257765939095,0.8911000270083933,10.647015884683954,213.6269560812713,0.981235232335026,0.9311693432879642
