,layers,neurons,batch_size,Temp,Cloud,Pressure,Rel-hum,Dew-point,Wind_cos,Wind_sin,Wind_sp,Temp_lag_1,Temp_lag_2,Temp_lag_3,P_lag_1,P_lag_2,P_lag_3,d_cos,d_sin,w_cos,w_sin,m_cos,m_sin,MAE_train,MSE_train,IA_train,R2_train,MAE_val,MSE_val,IA_val,R2_val,MAE_test,MSE_test,IA_test,R2_test
10,2.0,44.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.055054753012021,294.03179325972684,0.9681313549608686,0.8827709536013082,9.95464437857072,212.87304578241762,0.9707817902966568,0.8881876233725821,10.646189110482979,221.86381935521757,0.9805047822696844,0.9285154239568416
11,1.0,36.0,10.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.529461103265303,274.95030048996074,0.9702348533576126,0.8897908661337695,9.605979331283539,203.52167167404392,0.9722360086397344,0.8917747103127498,10.484587841791924,212.26959332873625,0.9817847808644279,0.9316066858938192
12,4.0,43.0,26.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.179510330927737,261.82098613551926,0.9719705911790064,0.8954189416638998,9.74738919577123,211.12207961000138,0.9718254556631316,0.8898537447484729,10.495762992188498,211.77133869562996,0.9817199740218596,0.9317672236566353
13,2.0,6.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.376218260671923,268.3663419889701,0.970869295951943,0.8929809078813351,9.759355466298329,210.6970620362625,0.9719906478268026,0.8900712223716762,10.36774308746635,208.9996351050931,0.9819055981362276,0.9326602672212086
14,3.0,12.0,43.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.065993477831098,297.8014234578506,0.9679513032456191,0.8811021443533554,9.951708221598622,218.21547422030613,0.9705802487094898,0.8863035353723693,10.674172445989905,222.6595155344347,0.9804173695657654,0.9282590504562149
15,3.0,32.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.199838323699057,264.2631805001475,0.9714635607076751,0.8946676405423761,9.503460568646934,202.09350377759407,0.9724796555753625,0.89433627181336,10.436970006786542,210.1005906860373,0.9817453054591454,0.9323055390678087
16,4.0,33.0,11.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.311713394848532,266.40377460447854,0.971626606891642,0.8935626675418489,9.660559678099977,209.12459653374833,0.9721164550413559,0.8911348207954501,10.390922590307659,208.94065990613126,0.9818877185490598,0.9326792690445213
17,1.0,9.0,8.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.760493320904924,281.9076795943135,0.9693104782415896,0.8865866362334092,9.413777118371852,193.96554853116746,0.9735997826242766,0.8967177363510155,10.81406807965208,218.7561321139549,0.9812645750680643,0.9295167215346171
18,1.0,23.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.560651445243886,276.36574907978627,0.9698739455632615,0.8901404419035173,9.492348311313062,197.3143443496636,0.9729811551331986,0.8960177738176004,10.557788848708844,214.1679964011436,0.9811279885990528,0.930995019966565
19,4.0,44.0,5.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.143120993485363,262.18543791396576,0.9715693948876625,0.8954154247693968,9.491430950525658,202.59503317216956,0.9724959265851947,0.8937877979372573,10.591748184816188,214.5188614560212,0.9806727751612445,0.9308819711613602
20,1.0,23.0,5.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.548916598251004,275.917685533874,0.9700611187692005,0.8902557999193237,9.506893859831617,197.79509188259442,0.973083945957519,0.8957876713106437,10.548614520199846,214.04678045444462,0.9812419806080321,0.9310340757737923
21,4.0,31.0,14.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.247355876590149,264.67793551786525,0.9715679247668314,0.8944850292063573,9.61947898390765,205.29112029955888,0.9720504577932199,0.892055000601492,10.563449772961215,213.96628482704486,0.981646911975563,0.9310600114843318
