,l1_ratio,P_lag_1,P_lag_2,P_lag_3,d_cos,d_sin,w_cos,w_sin,m_cos,m_sin,MAE_train,MSE_train,IA_train,R2_train,MAE_val,MSE_val,IA_val,R2_val,MAE_test,MSE_test,IA_test,R2_test
180,0.9999737603459812,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,10.736367755851937,258.892253748377,0.9723563060272291,0.897423278406215,9.572649548706673,198.5349865607479,0.9727931914457,0.8963372901611767,10.16502451580604,204.66415283150872,0.9819517521081508,0.9340571606541735
181,0.9999191654831182,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,10.736375453498992,258.8922592398183,0.9723562519369361,0.8974232762469588,9.572661859306981,198.5351978572139,0.9727931480757614,0.89633724730931,10.165051080180813,204.6648354897133,0.981951651193825,0.9340569407015356
182,0.9999996636345644,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,10.736364103830907,258.89225115988506,0.9723563316874501,0.8974232794240462,9.572643708076697,198.53488632458786,0.9727932120201583,0.8963373104860293,10.165011912837906,204.66382897530954,0.9819517999832965,0.934057265000719
183,0.9999715670193224,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,10.736368065088904,258.8922539680565,0.9723563038543754,0.8974232783198348,9.572650043263288,198.53499504859593,0.972793189703496,0.8963372884399954,10.165025582971307,204.66418025479854,0.9819517480542369,0.9340571518183829
184,0.9999758705466324,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,10.736367458335922,258.8922535370973,0.9723563081177167,0.8974232784892926,9.572649072894837,198.53497839465655,0.9727931931218623,0.8963372918170963,10.165023489089593,204.66412644772433,0.9819517560084013,0.9340571691550352
185,0.9999565261896732,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,10.73637018572349,258.89225547663074,0.9723562889534847,0.8974232777266509,9.572653434743938,198.53505325640543,0.9727931777558854,0.8963372766360768,10.165032901209749,204.66436831618682,0.9819517202537239,0.9340570912249584
186,0.9999760344767276,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,10.73636743522355,258.8922535206872,0.9723563082801147,0.8974232784957452,9.57264903593164,198.53497776027993,0.9727931932520737,0.8963372919457345,10.165023409329686,204.66412439811774,0.9819517563113899,0.934057169815419
187,0.99997572492778,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,10.73636747886661,258.8922535516748,0.9723563079734586,0.8974232784835605,9.572649105729196,198.5349789581727,0.9727931930061956,0.8963372917028269,10.165023559940204,204.6641282683875,0.981951755739257,0.9340571685684171
188,0.9999715371428468,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,10.736368069301193,258.8922539710494,0.9723563038247778,0.897423278318658,9.57265004999992,198.53499516421397,0.9727931896797645,0.8963372884165501,10.165025597507762,204.66418062834714,0.9819517479990162,0.9340571516980255
189,0.9999481792382082,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,10.736371362597652,258.8922563154097,0.9723562806838493,0.8974232773968385,9.572655316884367,198.53508556052884,0.9727931711252427,0.8963372700848207,10.165036962568315,204.66447268517842,0.9819517048252765,0.9340570575972441
